-0.150469	735	0.0	27.1109
-0.149531	12	0.0	3.4641
-0.148594	13	0.0	3.60555
-0.147656	11	0.0	3.31662
-0.146719	13	0.0	3.60555
-0.145781	7	0.0	2.64575
-0.144844	6	0.0	2.44949
-0.143906	16	0.0	4
-0.142969	7	0.0	2.64575
-0.142031	6	0.0	2.44949
-0.141094	13	0.0	3.60555
-0.140156	5	0.0	2.23607
-0.139219	8	0.0	2.82843
-0.138281	10	0.0	3.16228
-0.137344	12	0.0	3.4641
-0.136406	8	0.0	2.82843
-0.135469	13	0.0	3.60555
-0.134531	15	0.0	3.87298
-0.133594	12	0.0	3.4641
-0.132656	21	0.0	4.58258
-0.131719	15	0.0	3.87298
-0.130781	13	0.0	3.60555
-0.129844	14	0.0	3.74166
-0.128906	14	0.0	3.74166
-0.127969	12	0.0	3.4641
-0.127031	13	0.0	3.60555
-0.126094	9	0.0	3
-0.125156	18	0.0	4.24264
-0.124219	17	0.0	4.12311
-0.123281	14	0.0	3.74166
-0.122344	10	0.0	3.16228
-0.121406	15	0.0	3.87298
-0.120469	28	0.0	5.2915
-0.119531	12	0.0	3.4641
-0.118594	18	0.0	4.24264
-0.117656	20	0.0	4.47214
-0.116719	13	0.0	3.60555
-0.115781	26	0.0	5.09902
-0.114844	16	0.0	4
-0.113906	21	0.0	4.58258
-0.112969	16	0.0	4
-0.112031	18	0.0	4.24264
-0.111094	15	0.0	3.87298
-0.110156	21	0.0	4.58258
-0.109219	28	0.0	5.2915
-0.108281	22	0.0	4.69042
-0.107344	21	0.0	4.58258
-0.106406	17	0.0	4.12311
-0.105469	29	0.0	5.38516
-0.104531	27	0.0	5.19615
-0.103594	32	0.0	5.65685
-0.102656	21	0.0	4.58258
-0.101719	14	0.0	3.74166
-0.100781	20	0.0	4.47214
-0.0998437	26	0.0	5.09902
-0.0989062	26	0.0	5.09902
-0.0979687	33	0.0	5.74456
-0.0970312	28	0.0	5.2915
-0.0960937	29	0.0	5.38516
-0.0951562	26	0.0	5.09902
-0.0942187	32	0.0	5.65685
-0.0932812	33	0.0	5.74456
-0.0923437	37	0.0	6.08276
-0.0914062	26	0.0	5.09902
-0.0904688	31	0.0	5.56776
-0.0895312	41	0.0	6.40312
-0.0885937	39	0.0	6.245
-0.0876562	36	0.0	6
-0.0867187	42	0.0	6.48074
-0.0857812	45	0.0	6.7082
-0.0848437	34	0.0	5.83095
-0.0839062	35	0.0	5.91608
-0.0829687	30	0.0	5.47723
-0.0820312	49	0.0	7
-0.0810937	39	0.0	6.245
-0.0801562	39	0.0	6.245
-0.0792187	50	0.0	7.07107
-0.0782812	45	0.0	6.7082
-0.0773437	61	0.0	7.81025
-0.0764062	55	0.0	7.4162
-0.0754687	43	0.0	6.55744
-0.0745312	48	0.0	6.9282
-0.0735937	53	0.0	7.28011
-0.0726562	60	0.0	7.74597
-0.0717187	49	0.0	7
-0.0707812	48	0.0	6.9282
-0.0698437	61	0.0	7.81025
-0.0689062	64	0.0	8
-0.0679687	60	0.0	7.74597
-0.0670313	63	0.0	7.93725
-0.0660937	71	0.0	8.42615
-0.0651562	65	0.0	8.06226
-0.0642187	74	0.0	8.60233
-0.0632812	76	0.0	8.7178
-0.0623437	72	0.0	8.48528
-0.0614063	76	0.0	8.7178
-0.0604687	75	0.0	8.66025
-0.0595313	79	0.0	8.88819
-0.0585938	76	0.0	8.7178
-0.0576562	87	0.0	9.32738
-0.0567188	107	0.0	10.3441
-0.0557812	109	0.0	10.4403
-0.0548438	106	0.0	10.2956
-0.0539062	102	0.0	10.0995
-0.0529688	108	0.0	10.3923
-0.0520312	111	0.0	10.5357
-0.0510938	121	0.0	11
-0.0501563	127	0.0	11.2694
-0.0492187	119	0.0	10.9087
-0.0482813	117	0.0	10.8167
-0.0473437	136	0.0	11.6619
-0.0464063	159	0.0	12.6095
-0.0454687	139	0.0	11.7898
-0.0445313	179	0.0	13.3791
-0.0435938	168	0.0	12.9615
-0.0426562	175	0.0	13.2288
-0.0417188	184	0.0	13.5647
-0.0407812	188	0.0	13.7113
-0.0398438	195	0.0	13.9642
-0.0389062	206	0.0	14.3527
-0.0379688	217	0.0	14.7309
-0.0370313	205	0.0	14.3178
-0.0360938	228	0.0	15.0997
-0.0351563	264	0.0	16.2481
-0.0342187	262	0.0	16.1864
-0.0332813	298	0.0	17.2627
-0.0323437	299	0.0	17.2916
-0.0314063	290	0.0	17.0294
-0.0304687	360	0.0	18.9737
-0.0295312	354	0.0	18.8149
-0.0285938	379	0.0	19.4679
-0.0276562	376	0.0	19.3907
-0.0267188	430	0.0	20.7364
-0.0257812	449	0.0	21.1896
-0.0248438	463	0.0	21.5174
-0.0239063	487	0.0	22.0681
-0.0229687	562	0.0	23.7065
-0.0220312	593	0.0	24.3516
-0.0210938	678	0.0	26.0384
-0.0201563	698	0.0	26.4197
-0.0192187	798	0.0	28.2489
-0.0182812	838	0.0	28.9482
-0.0173438	951	0.0	30.8383
-0.0164063	1024	0.0	32
-0.0154687	1187	0.0	34.4529
-0.0145312	1306	0.0	36.1386
-0.0135938	1523	0.0	39.0256
-0.0126562	1707	0.0	41.3159
-0.0117187	2029	0.0	45.0444
-0.0107813	2386	0.0	48.8467
-0.00984375	2933	0.0	54.1572
-0.00890625	3595	0.0	59.9583
-0.00796875	4879	0.0	69.8498
-0.00703125	6204	0.0	78.7655
-0.00609375	8447	0.0	91.9076
-0.00515625	12096	0.0	109.982
-0.00421875	17156	0.0	130.981
-0.00328125	25029	0.0	158.206
-0.00234375	37370	0.0	193.313
